Period start,Period end,Trading period,Region ID,Region,Demand (GWh)
1/11/18,30/11/2018,N/A,LNI,Lower North Island,435.653
1/11/18,30/11/2018,N/A,USI,Upper South Island,449.14
1/11/18,30/11/2018,N/A,LSI,Lower South Island,749.099
1/12/18,31/12/2018,N/A,UNI,Upper North Island,915.73
1/12/18,31/12/2018,N/A,CNI,Central North Island,680.323
1/12/18,31/12/2018,N/A,LNI,Lower North Island,410.64
1/12/18,31/12/2018,N/A,USI,Upper South Island,427.752
1/12/18,31/12/2018,N/A,LSI,Lower South Island,756.555
1/1/19,31/01/2019,N/A,UNI,Upper North Island,920.15
1/1/19,31/01/2019,N/A,CNI,Central North Island,712.426
1/1/19,31/01/2019,N/A,LNI,Lower North Island,423.385
1/1/19,31/01/2019,N/A,USI,Upper South Island,528.973
1/1/19,31/01/2019,N/A,LSI,Lower South Island,792.353
1/2/19,28/02/2019,N/A,UNI,Upper North Island,864.044
1/2/19,28/02/2019,N/A,CNI,Central North Island,631.599
1/2/19,28/02/2019,N/A,LNI,Lower North Island,392.835
1/2/19,28/02/2019,N/A,USI,Upper South Island,496.876
1/2/19,28/02/2019,N/A,LSI,Lower South Island,742.66
1/3/19,31/03/2019,N/A,UNI,Upper North Island,951.176
1/3/19,31/03/2019,N/A,CNI,Central North Island,703.971
1/3/19,31/03/2019,N/A,LNI,Lower North Island,431.373
1/3/19,31/03/2019,N/A,USI,Upper South Island,494.978
1/3/19,31/03/2019,N/A,LSI,Lower South Island,781.424
